Train Epoch: 131, Loss: 0.927640, Test Average loss: 0.7793, Accuracy: 77.15%  
Train Epoch: 132, Loss: 0.987605, Test Average loss: 0.8160, Accuracy: 76.2%  
Train Epoch: 133, Loss: 0.966260, Test Average loss: 0.8077, Accuracy: 76.05%  
Train Epoch: 134, Loss: 0.874785, Test Average loss: 0.8359, Accuracy: 76.25%  
Train Epoch: 135, Loss: 0.930079, Test Average loss: 0.8687, Accuracy: 75.15%  
Train Epoch: 136, Loss: 0.851446, Test Average loss: 0.8477, Accuracy: 77.45%  
Train Epoch: 137, Loss: 0.936911, Test Average loss: 0.6842, Accuracy: 76.7%  
Train Epoch: 138, Loss: 0.929948, Test Average loss: 0.7746, Accuracy: 77.1%  
Train Epoch: 139, Loss: 0.859085, Test Average loss: 0.7011, Accuracy: 77.4%  
Train Epoch: 140, Loss: 0.770362, Test Average loss: 0.7696, Accuracy: 77.3%  
Train Epoch: 141, Loss: 0.817549, Test Average loss: 0.8423, Accuracy: 76.5%  
Train Epoch: 142, Loss: 0.845599, Test Average loss: 0.7356, Accuracy: 75.85%  
Train Epoch: 143, Loss: 0.796171, Test Average loss: 0.7953, Accuracy: 74.65%  
Train Epoch: 144, Loss: 0.804127, Test Average loss: 0.7186, Accuracy: 77.0%  
Train Epoch: 145, Loss: 0.908577, Test Average loss: 0.7872, Accuracy: 77.05%  
Train Epoch: 146, Loss: 0.845811, Test Average loss: 0.7110, Accuracy: 78.4%  
Train Epoch: 147, Loss: 0.928677, Test Average loss: 0.7432, Accuracy: 77.15%  
Train Epoch: 148, Loss: 0.833448, Test Average loss: 0.7121, Accuracy: 77.85%  
Train Epoch: 149, Loss: 0.933518, Test Average loss: 0.7562, Accuracy: 74.6%  
Train Epoch: 150, Loss: 0.805729, Test Average loss: 0.7552, Accuracy: 76.6%  
Train Epoch: 151, Loss: 0.751241, Test Average loss: 0.6919, Accuracy: 78.05%  
Train Epoch: 152, Loss: 0.795769, Test Average loss: 0.7453, Accuracy: 77.3%  
Train Epoch: 153, Loss: 0.980786, Test Average loss: 0.7479, Accuracy: 77.85%  
Train Epoch: 154, Loss: 0.769486, Test Average loss: 0.7634, Accuracy: 76.15%  
Train Epoch: 155, Loss: 0.781684, Test Average loss: 0.8257, Accuracy: 77.7%  
Train Epoch: 156, Loss: 0.741615, Test Average loss: 0.7166, Accuracy: 77.5%  
Train Epoch: 157, Loss: 0.837620, Test Average loss: 0.6097, Accuracy: 78.05%  
Train Epoch: 158, Loss: 0.800136, Test Average loss: 0.6440, Accuracy: 78.6%  
Train Epoch: 159, Loss: 0.816077, Test Average loss: 0.7493, Accuracy: 78.35%  
Train Epoch: 160, Loss: 0.831665, Test Average loss: 0.7938, Accuracy: 78.7%  
Train Epoch: 161, Loss: 0.856427, Test Average loss: 0.7225, Accuracy: 78.05%  
Train Epoch: 162, Loss: 0.838238, Test Average loss: 0.6830, Accuracy: 78.6%  
Train Epoch: 163, Loss: 0.835461, Test Average loss: 0.7688, Accuracy: 78.5%  
Train Epoch: 164, Loss: 0.764881, Test Average loss: 0.6852, Accuracy: 78.6%  
Train Epoch: 165, Loss: 0.885920, Test Average loss: 0.7252, Accuracy: 78.1%  
Train Epoch: 166, Loss: 0.724663, Test Average loss: 0.7179, Accuracy: 79.05%  
Train Epoch: 167, Loss: 0.832985, Test Average loss: 0.6971, Accuracy: 78.45%  
Train Epoch: 168, Loss: 0.678577, Test Average loss: 0.6382, Accuracy: 79.45%  
Train Epoch: 169, Loss: 0.706055, Test Average loss: 0.6485, Accuracy: 78.4%  
Train Epoch: 170, Loss: 0.845445, Test Average loss: 0.7335, Accuracy: 76.5%  
Train Epoch: 171, Loss: 0.741658, Test Average loss: 0.6786, Accuracy: 78.1%  
Train Epoch: 172, Loss: 0.723368, Test Average loss: 0.8023, Accuracy: 77.9%  
Train Epoch: 173, Loss: 0.746455, Test Average loss: 0.5950, Accuracy: 79.35%  
Train Epoch: 174, Loss: 0.854838, Test Average loss: 0.6288, Accuracy: 79.4%  
Train Epoch: 175, Loss: 0.846127, Test Average loss: 0.9567, Accuracy: 78.7%  
Train Epoch: 176, Loss: 0.655496, Test Average loss: 0.8210, Accuracy: 78.9%  
Train Epoch: 177, Loss: 0.686786, Test Average loss: 0.8245, Accuracy: 77.55%  
Train Epoch: 178, Loss: 0.832708, Test Average loss: 0.7460, Accuracy: 76.6%  
Train Epoch: 179, Loss: 0.751663, Test Average loss: 0.7046, Accuracy: 78.6%  
Train Epoch: 180, Loss: 0.619970, Test Average loss: 0.7497, Accuracy: 78.15%  
Train Epoch: 181, Loss: 0.699185, Test Average loss: 0.6309, Accuracy: 79.25%  
Train Epoch: 182, Loss: 0.699363, Test Average loss: 0.6901, Accuracy: 78.75%  
Train Epoch: 183, Loss: 0.768768, Test Average loss: 0.7907, Accuracy: 79.25%  
Train Epoch: 184, Loss: 0.669975, Test Average loss: 0.6711, Accuracy: 78.6%  
Train Epoch: 185, Loss: 0.666044, Test Average loss: 0.7234, Accuracy: 79.25%  
