Train Epoch: 210, Loss: 0.566164, Test Average loss: 0.2867, Accuracy: 90.15%  
Train Epoch: 211, Loss: 0.442278, Test Average loss: 0.2173, Accuracy: 90.55%  
Train Epoch: 212, Loss: 0.463975, Test Average loss: 0.3732, Accuracy: 90.4%  
Train Epoch: 213, Loss: 0.468561, Test Average loss: 0.3080, Accuracy: 89.45%  
Train Epoch: 214, Loss: 0.498724, Test Average loss: 0.2753, Accuracy: 90.15%  
Train Epoch: 215, Loss: 0.456470, Test Average loss: 0.3239, Accuracy: 90.2%  
Train Epoch: 216, Loss: 0.543561, Test Average loss: 0.3102, Accuracy: 89.95%  
Train Epoch: 217, Loss: 0.497390, Test Average loss: 0.2716, Accuracy: 91.05%  
Train Epoch: 218, Loss: 0.561576, Test Average loss: 0.2924, Accuracy: 91.2%  
Train Epoch: 219, Loss: 0.431097, Test Average loss: 0.2992, Accuracy: 91.3%  
Train Epoch: 220, Loss: 0.431661, Test Average loss: 0.2814, Accuracy: 90.55%  
Train Epoch: 221, Loss: 0.491889, Test Average loss: 0.3071, Accuracy: 89.9%  
Train Epoch: 222, Loss: 0.531808, Test Average loss: 0.2985, Accuracy: 91.2%  
Train Epoch: 223, Loss: 0.530082, Test Average loss: 0.2518, Accuracy: 91.45%  
Train Epoch: 224, Loss: 0.502057, Test Average loss: 0.2594, Accuracy: 90.65%  
Train Epoch: 225, Loss: 0.473663, Test Average loss: 0.2805, Accuracy: 91.5%  
Train Epoch: 226, Loss: 0.487591, Test Average loss: 0.3208, Accuracy: 91.2%  
Train Epoch: 227, Loss: 0.550040, Test Average loss: 0.2680, Accuracy: 90.0%  
Train Epoch: 228, Loss: 0.387152, Test Average loss: 0.3099, Accuracy: 90.9%  
Train Epoch: 229, Loss: 0.530644, Test Average loss: 0.2977, Accuracy: 90.75%  
Train Epoch: 230, Loss: 0.470495, Test Average loss: 0.3738, Accuracy: 89.75%  
Train Epoch: 231, Loss: 0.440502, Test Average loss: 0.2634, Accuracy: 91.1%  
Train Epoch: 232, Loss: 0.425622, Test Average loss: 0.3204, Accuracy: 91.0%  
Train Epoch: 233, Loss: 0.418194, Test Average loss: 0.2441, Accuracy: 92.2%  
Train Epoch: 234, Loss: 0.446972, Test Average loss: 0.2622, Accuracy: 91.95%  
Train Epoch: 235, Loss: 0.487720, Test Average loss: 0.2767, Accuracy: 91.6%  
Train Epoch: 236, Loss: 0.449483, Test Average loss: 0.3112, Accuracy: 92.45%  
Train Epoch: 237, Loss: 0.454616, Test Average loss: 0.2370, Accuracy: 91.8%  
Train Epoch: 238, Loss: 0.406716, Test Average loss: 0.2423, Accuracy: 91.1%  
Train Epoch: 239, Loss: 0.451408, Test Average loss: 0.3023, Accuracy: 91.3%  
Train Epoch: 240, Loss: 0.469720, Test Average loss: 0.2659, Accuracy: 91.55%  
Train Epoch: 241, Loss: 0.490038, Test Average loss: 0.2435, Accuracy: 92.6%  
Train Epoch: 242, Loss: 0.446151, Test Average loss: 0.2508, Accuracy: 92.55%  
Train Epoch: 243, Loss: 0.439098, Test Average loss: 0.2593, Accuracy: 92.3%  
Train Epoch: 244, Loss: 0.426009, Test Average loss: 0.2153, Accuracy: 92.55%  
Train Epoch: 245, Loss: 0.400148, Test Average loss: 0.1965, Accuracy: 92.2%  
Train Epoch: 246, Loss: 0.488841, Test Average loss: 0.1940, Accuracy: 92.9%  
Train Epoch: 247, Loss: 0.467392, Test Average loss: 0.2784, Accuracy: 92.65%  
Train Epoch: 248, Loss: 0.421931, Test Average loss: 0.2662, Accuracy: 91.15%  
Train Epoch: 249, Loss: 0.411199, Test Average loss: 0.2138, Accuracy: 92.45%  
Train Epoch: 250, Loss: 0.421654, Test Average loss: 0.2451, Accuracy: 92.0%  
Train Epoch: 251, Loss: 0.371197, Test Average loss: 0.2510, Accuracy: 92.05%  
Train Epoch: 252, Loss: 0.399817, Test Average loss: 0.2387, Accuracy: 92.4%  
Train Epoch: 253, Loss: 0.438025, Test Average loss: 0.2332, Accuracy: 91.9%  
Train Epoch: 254, Loss: 0.482659, Test Average loss: 0.2631, Accuracy: 91.7%  
Train Epoch: 255, Loss: 0.386397, Test Average loss: 0.2785, Accuracy: 92.15%  
Train Epoch: 256, Loss: 0.438340, Test Average loss: 0.2498, Accuracy: 92.25%  
Train Epoch: 257, Loss: 0.422676, Test Average loss: 0.2939, Accuracy: 92.1%  
Train Epoch: 258, Loss: 0.392772, Test Average loss: 0.3066, Accuracy: 92.35%  
Train Epoch: 259, Loss: 0.419486, Test Average loss: 0.2350, Accuracy: 92.8%  
Train Epoch: 260, Loss: 0.437315, Test Average loss: 0.2482, Accuracy: 92.35%  
Train Epoch: 261, Loss: 0.412248, Test Average loss: 0.2458, Accuracy: 92.05%  
Train Epoch: 262, Loss: 0.350924, Test Average loss: 0.2335, Accuracy: 93.2%  
Train Epoch: 263, Loss: 0.443011, Test Average loss: 0.2487, Accuracy: 92.75%  
Train Epoch: 264, Loss: 0.411315, Test Average loss: 0.2368, Accuracy: 93.25%  
Train Epoch: 265, Loss: 0.397059, Test Average loss: 0.2759, Accuracy: 91.5%  
Train Epoch: 266, Loss: 0.486357, Test Average loss: 0.2254, Accuracy: 92.7%  
